n;corpus;index;date;year;sender;senderLocation;recipient;recipientLocation;languages;mainLanguage;text
629;Schmitz Livia;10;10/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA,UND;ITA;Alla moglie Trieste, 10 Settembre 1910 Carissima  Livia, Ho ricevuto la cara tua dell'8. Spero che tutto questo Salso che ti fu prescritto finirà col farti bene. Diamine questa volta lo prendi da tutte le parti. Parlerò con la signorina di Letizia tanto per l'iscrizione che per l'esame. Iersera sono arrivate Paola e Sara. Sara arrivò qui tutta roca dalle feste di Venezia. Frizzi e Ottavio erano a cena da Natalia e questa non ci pensò a tempo d'invitarmi. Io mangiai in fretta e quando mi pervenne l'invito andai in città e mangiai molta insalata e dei dolci. Natalia poi mi costrinse a bere un bicchiere di vino che certo non mi fece bene. Non gliene serbo rancore perché la bestialità resta mia. Andammo alla stazione ove trovammo Aurelio e Davide che come al solito mormoravano contro la madre perché il treno era in ritardo. L'arrivo fu turbolento perché demmo ad intendere a Paola che Ottavio era qui da 8 giorni e che doveva partire la mattina appresso. Di più che Frizzi e tutta la compagnia erano installate in casa sua per cui essa e Sara avrebbero dovuto andare all'Hotel. Mi pare invece che Frizzi cominci ad essere impressionata dal colera italiano cosi che finirà col restare qui. Paola e Sara andarono a casa e noialtri come al solito andammo in caffè ove restammo fino alla 1 di notte. Io arrivai a casa alla l½e non potei prendere sonno fino alle quattro. Oggi sono un po' copato e di sera non voglio più uscire. Oggi Edmondo parte per Graz e Bepi è andato alla stazione per tentare di vederlo. Sarà trasportato all'Ospitale di Graz. Cosi adesso Bepi ritornerà all'ufficio da cui è quasi sempre assente. Di Dora e del suo arrivo ti scrissi già. Fausta credo partirà martedì. Ti abbraccio di cuore cara Livia.  Tuo Ettore. 
630;Schmitz Livia;11;11/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla  moglie Trieste, 11 Settembre 1910 Carissima Livia, Ricevo la cara tua del 9. Ho trovata una fotografia che potrebbe essere quella dell'anno scorso. Io ci ho un aspetto estremamente stupido. Ti mando anche i due pantaloni che cercherò quest'oggi. Salutami caramente la signora Fuchs-Luzzatto e suo marito. Letizia tosse tuttavia qualche volta. E molto occupata o appare di esserlo. Questa mane mi capitò come una bomba in camera da bagno e preparò tutto per i gargarismi e le inalazioni. Io credo però che se ne sia andata senza aver fatto nulla. Per le inalazioni ne sono quasi certo. Glielo domanderò. Iersera sono stato a cena da Paola. Dopo cena è venuto Moise con la moglie che ti saluta. Oggi abbiamo a pranzo Ottavio e Frizzi e la sua famiglia. Ad Olga seccava di invitare altre più persone ed in complesso ha ragione. Paola è stata a Bassano a trovare Umberto. Essa dice che non le parve che nessuno dei maestri coi quali parlò fosse fatto per l'insegnamento ma piuttosto per contadini. Umberto poi si sente abbastanza infelice di essere in quel luogo. L'anno prossimo verrà trasportato a Udine in un Istituto molto superiore. Oggi arriva Adolfo ed io andrò ad incontrarlo alla stazione. Abbiamo in genere piuttosto poco da fare e qualche imbarazzo di cassa che si capisce, data la nostra amministrazione. Non c'è da farsi pensieri a patto che si cambi un po' di sistema. Ti  abbraccio  di  cuore,  cara Livia.   Salutami   Olga. Tuo Ettore. 
631;Schmitz Livia;12;12/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla  moglie Trieste,  12 Settembre  1910 Carissima Livia, Ricevo la cara tua del 10 corr. Il viaggio di Ottavio e Frizzi è tramontato mi pare. Quando si trattava di lasciare qui Tenci, Frizzi ci pensò prima una poi due e infine 3 volte. Credo che faranno un grande sforzo per arrivare a Venezia e vedere l'Esposizione. Loro dunque non li vedi di sicuro a Salso. In quanto a me poi non ne so ancora nulla. Tribl è assente e vedremo. Mi pare che giacché col concorso di Olga abbiamo risparmiato le spese del tuo viaggio sia poco ragionevole che io metta a quel posto le spese mie. È infatti alquanto doloroso che bisogni ricordare a Letizia di scriverti. Mi dispiace anche che debbo confessarti che io di spesso glielo ricordai, ciò che aggrava alquanto la cosa. Adesso in seguito alla tua lettera le feci un rimprovero ed ella protestò di averti scritto sempre. Facciamo una prova. Io noli gliene parlo più e tu non le scrivi altro che in risposta alle sue lettere. E conti i giorni in cui non ricevi lettere. Iersera è arrivato Adolfo. Dice che ci ha messo tanto tempo perché è venuto a piedi. Io sono rimasto a cena da Paola. Poi ho dormito poco. Sono in uno stato di nervi eccitato. Vi contribuisce anche la vita meno regolare del solito che conduco. Il peggio però è la tua assenza che in fondo è un'ingiustizia. Per dirti il vero fra i nostri parenti quelli che più si avvicinano al mio ideale di vita sono Ottavio e Frizzi. Che egli fosse un po' meno dogmatico e sarebbe perfetto. Qualche volta s'accalora sulle sue idee ed io sto a sentirlo con piacere perché mi parla dall'anima. Viceversa poi quando trae conseguenze rigidamente logiche allora mi ritiro nel mio guscio e non lo seguo più. Se lo avessi avuto più vicino io sarei forse stato più forte ed egli... più debole, ciò che non gli avrebbe nociuto. Ti prego di salutarmi tutta la compagnia. Ricordami anche a Mino Fontanella ch'è stato tanto gentile di darti un posto per l'arrivo nel suo automobile. Adolfo mi dice ch'erano stati ad aspettarti anche domenica e non capisco perché, visto che io avevo scritto che ancora non potevo dire quando saresti arrivata. Dopo pranzo mando da Paola i cosi che mi hai domandati e la fotografia. Mi meraviglia che sia cosi grande quella fotografia. Mi toccherà proteggerla con dei cartoni. Mi dispiace anche per Ottavio e Frizzi che tu sei via. Cosi mi è più difficile di organizzare qualche cosa per loro a casa. Un bel bacione da quel disgraziato del tuo [Ettore]. Ricevo or ora la tua dell'11. Cosi domani sarò senza lettere. Gioachino ti prega di cercare di ricordare a chi consegnasti due stanghe zincate arrivate da Greinitz e che in presenza della Zeline mandasti in ufficio o in fabbrica. Ricordi qualche cosa? Non è possibile di ritrovarle. Questa sera sono a cena da Natalia. Davide parte da qui domani. Gli consegno or ora le cose che domandasti. Ti abbraccio di cuore. Ettore. 
632;Schmitz Livia;13;13/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA,FRE;ITA;Alla moglie Trieste,   13  Settembre  1910 Carissima Livia, Ricevo la cara tua del 12. Sta attenta di non fare la poire  a Salsomaggiore. Io direi che se vuoi guadagnare tu non giuochi affatto perché essendo abituata a giuocare qui non sai giuocare. Sulla mia venuta a Salso non ho deciso ancora nulla e ti confermo quanto già t'ho detto. Mi pare un peccato di spendere tanto per 8 giorni. Davide è partito questa mane alle 6 e sarà a Salso domani perché si ferma a Cervignano un giorno per affari. Gli ho mandato le due cose che mi domandasti. Però per un malinteso che molto mi dispiace non seppi ch'egli partiva e non lo salutai né potei dirgli nulla da riferirti. Già che cosa avrei potuto dirgli? Niente di nuovo certo. Ti mando acclusi tre biglietti da visita. Te ne posso mandare altrettanti ogni giorno finché ti bastino. Penso uno di questi giorni di fare una gita con Ottavio, Frizzi e la nonna a Capodistria. Starò fuori un giorno. Questa sera parte Faustina. Oggi abbiamo avuto a colazione la sola Frizzi. Se tu ci fossi stata questa visita di Ottavio sarebbe stata ben più lieta.  Ottavio urge che io cessi di fumare ma a me pare che precisamente per quanto egli me ne dice farei meglio di attendere il tuo ritorno. Ieri Letizia mi diede quei due bollettini disperati per te. Stavo chiudendo la lettera e non aggiunsi parola. Non farti però pensiero che non era tanto disperata perché dopo poco la trovai che giuocava. Non dubito che ora ti scriverà ma non bisogna tenerle troppo rancore se non lo fa. Ha anche da studiare. Oggi sono stato con essa a iscriverla. Poi sono stato dispiacente di averla iscritta il 13 e pagando per tassa 13 cor. Per lo scrivere mi dispiace di aver raccontata la cosa a Olga che ora la sorveglierà per quanto le abbia raccomandato di non farlo. Abbiamo poco da fare e ce la prendiamo tutti abbastanza comodamente, ciò che non mi è poco piacevole vista la presenza di Ottavio. Ti mando un maggior numero di biglietti da visita visto che causa   le   due   lettere   di   Letizia  la  lettera   è   grossa. Tutti ti salutano. Frizzi mi pare la più dispiacente di non averti   trovata. Ti  abbraccio  di cuore.   Tuo Ettore. 
633;Schmitz Livia;14;14/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA,FRE;ITA;Alla    moglie Trieste, 14 Settembre 1910 Carissima Livia, Oggi — finora — sono senza tue lettere. Si capisce ormai che Ottavio e Frizzi non partono per l'Italia cosi che per questa volta non li vedrai. Il primo resta qui attratto dall'aria natia, l'altra per il desiderio di restare con la bambina  per la paura del colera. Tuttavia si capisce che non avrebbero grande desiderio di stabilirsi qui. Fu offerto a Ottavio il posto di vice direttore della Lànderbank che pare impianterà una Filiale al posto della Banca Popolare ma egli neppure ci pensò. Scrivi a Frizzi una lettera che puoi indirizzare   a   me   senza   parlare   di   quanto   sopra   perché   non   è ancora sicuro che la Landerbank prenderà la successione della Banca Popolare e promisi il segreto. Iersera è partita Faustina. Letizia pianse molto. Tutti erano molto accorati ed Olga diceva che quasi sarebbe meglio di non vedersi pur di non aver a separarsi. Poi io andai in caffè ove trovai Pepi, Natalia, Frizzi e Ottavio. Restai solo fino all'ultimo Tramway. Paola e Sara c'erano anche, essendo anche venute a salutare Fausta alla stazione. Feci circolare la fotografia di Sara che tu mi mandasti. Sara mi pareva soddisfatta. Insistette per sapere con quali parole tu accompagnasti l'invio ed io improvvisai: « Je t'envoie la photographie de ta nièce qui me paraìt très bien réussie ». Ne fu soddisfattissima. Per il convento di Letizia mi pare che siamo rimasti d'accordo che non ci andrà che quando sarà qui Olghetta. Dunque non ci penso. Questa mane è partito per Graz Bruno. Mi pare che Olga non lo lascierà procedere per Vienna in causa del colera. Oggi Letizia è a colazione da Paola. Ottavio e Frizzi desiderano di vederla dicendo che non la conoscono ancora. Io calcolo che di qui a dieci giorni voi sarete qui. Devi dirmi se puoi il giorno esatto per tante e tante ragioni. Sono in uno stato di eccitazione che mi rende difficile il lavoro. Questa notte però dormii saporitamente. C'è chi sta peggio di me. Ieri sono stato a trovare Cippina. Trovai lo spettro di quel povero diavolo. Egli dice che sono 40 giorni che non dorme e ne ha tutta l'apparenza. E agitato, ha la voce cambiata, gli occhi ingranditi. Si getta sul letto di qua e di là in cerca di riposo. Mi parve veramente alla fine. Infine oggi apprendo dal Nini che questa notte riposò qualche poco. Feci parlare a Ravasini il quale dichiarò che per avere un'idea precisa del suo stato bisognerebbe analizzargli l'orina. Disporrò perché  sia  fatto. Ti  abbraccio   di  cuore.   Tuo Ettore. 
634;Schmitz Livia;15;15/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla moglie Trieste, 15 Settembre 1910 Carissima Livia, Posseggo la cara tua del 13 e vedo — con piacere — che hai dispiacere che io non venga a Salso. Ci penserò ma se ci penso troppo spero bene che intanto farai in modo che il tempo passi. Non mi hai detto nulla se hai osservato qualche effetto della cura. Sei debole come eri nei tempi passati? Mi pare di vederti camminare in abito di sera verso il caffè con quei signori che ti annusano. Sul licenziamento di Mademoiselle Zéline ti scriverò. Intanto mi pare che sia stato ritirato o cioè non ne sento più a parlare. Oggi vidi in casa Andrea con sua moglie. Forse che l'ammazzerà questa volta. Iersera sono stato a cena da Natalia. Mi dispiace di mangiare continuamente dagli altri senza essere al caso di corrispondere. Jole aveva un poco di febbre ed era a letto. Arrivò una lunga lettera di Bianca che Jole si mise subito a leggere ad alta voce ai suoi genitori. Domandava di Ottavio e Frizzi e cosi via ed io fra me e me rideva pensando ai pericoli di una lettura tanto improvvisata. Poteva capitare la domanda:«Quando finalmente sarete liberi da tante seccature?». Si sa che le ragazze qualche volta fanno dello spirito. Invece c'era la raccomandazione di non dimenticare che il 20 Settembre era la festa di Letizia. Ne rimasi commosso. Pepi cicca che gli tengono lontano per tanto tempo sua figlia. «Ma che si può fare?» domandava Natalia sconfortata. Anche le bontà dei matti possono dispiacere. Non sanno quando ritornerà. È come se fosse stata mandata molto più lontano. Oggi vado a Capodistria con Ottavio. Partiamo alle due del pom. con Paola e Sara. Vado a pranzo da Paola. Iersera Ottavio e Frizzi furono a teatro al Politeama. A me seccò di andarci e alle nove ero a casa. Poi mi dispiacque. Avevo però tenuto compagnia a Ottavio tutto il dopopranzo. Siamo stati da... zia Marietta. Non c'era altri e la vecchia proprio ci mangiò vivi. Ottavio s'era pensato di domandare notizie dei nostri antenati Schmitz. Capitò fuori una tale caterva di bestialità che Ottavio si appendeva al mio cappotto per impedirmi di ridere. Parlava, parlava e si lagnava sempre di parlare troppo brevemente. Cosi non potrete capire niente ma andava avanti senza badarci di parlare a persone che non potevano capirla. A un dato punto descrisse una visita della nonna Schmitz (Rosa Macerata Schmitz) vestita dei suoi abiti più belli all'imperatore per ottenere il permesso di abitare la Leopoldstadt. Io scoppiai: Mi sentivo correre per le vene sangue imperiale. Ci avviammo lesti alla porta. Ella ci accompagnò raccontandoci della vita del nonno (Adolfo Schmitz) a Udine nascosto in una cantina fra le immondizie per non andare soldato. Poi l'avevano fatto soldato ma lui da quel furbo ebreo ch'era era diventato vivandiere e mandava pacchi di napoleoni a casa. Risulta insomma ch'egli combatté per l'Italia perché spogliava gli Austriaci. Corremmo giù per le scale col pericolo di precipitare. Da zia Manetta io non vado più se non so di sicuro di trovare  altri  in  casa. Ti   mando   cosi   un   poco   del   buon   umore   che   non   ho. Ti   abbraccio   di   cuore. Tuo Ettore. La carta mi si è tutta gualcita nella macchina ma non fa nulla.   Ho   tentato   di   riparare   tagliando   ma   ho   fatto   peggio. 
635;Schmitz Livia;16;16/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla    moglie Trieste,  16 Settembre  1910 Carissima Livia, Posseggo la tua del 14. Se sapessi come sei ingiusta, Io decisi di  non venire perché l'abbreviamento del tuo soggiorno a Salso mi fa apparire troppo ragionevole la mia decisione. Dovresti vedere la vita che faccio specialmente di notte per capire che peso mi è la tua assenza per tutti i punti di vista. Andai iersera a letto alle 11 e mi addormentai alle quattro. Gli altri punti di vista sono poi altrettanto importanti e non li enumero. Sono circondato da disordine. Per uscire mi tocca lavorare come una bestia. A pranzo mi sento più solitario che mai. C'è ancora il buono di aver qui la compagnia di Frizzi e Ottavio che mi sono tanto cari e un poco mi distraggono ma insomma faccio una vita da bestia e non s'è mai provato con tale evidenza quanto necessaria mi sei. Se sono più calmo o se l'apparisco dalle mie lettere è per farti piacere e mi costa non poco. Non è la prima volta che le tue lettere mi danno qualche punta dolorosa e non te ne parlo che per giustificarmi. Mi scrivi oggi che fai ogni giorno nuove conoscenze e non me le nomini né accenni. Io capisco benissimo che le taci per rendermi meno geloso e riesci all'intento opposto. Ma lasciamo stare. Tu porti dei buoni argomenti per farmi venire ma è impossibile perché Ottavio e Frizzi restano qui fino a martedì mattina. Sono addoloratissimi di non averti veduta e potrebbero prolungare il loro soggiorno di un giorno o di un giorno e mezzo se sapessero di arrivare a stare qualche ora con te. Scrivimi subito il giorno esatto in cui puoi partire e il giorno e l'ora in cui puoi arrivare. Essi sarebbero disposti di fare ogni sacrificio per poterti vedere. Io promisi che se essi ti attendevano io avrei fatto loro visita per qualche giorno quest'inverno. Tu dirai subito che cosi le mie economie se ne vanno ma noi due in un viaggetto a Vienna ci divertiremmo abbastanza. E vero che questa volta venire a Salso sarebbe ben più che un divertimento e dopo la tua lettera io verrei di sicuro ma non posso perché da parte mia sarebbe proprio una brutta azione lasciare qui mio fratello. Ieri siamo stati a Capodistria. L'Esposizione è quello che sai. Ce la siamo passata bene. Ottavio e Frizzi per vederti sarebbero anche capaci di venirti incontro a Venezia. Io ho paura che questi piani non possano effettuarsi perché se tu fossi sola potresti lasciare un bagno ma non con Olga. Cosi puoi dirmi esattamente il giorno del tuo arrivo perché non puoi deviare dalla regola. Ti abbraccio ben di cuore cara Livia. Se fossi tanto indietro con le carte da farti dubbi sul mio  affetto  saresti  indietro anche   coi   cartoni.   Non  vedo   l'ora   di   potermi   tranquillizzare fra le tue braccia.   Tranquillizzarmi di tante  e poi tante  cose. Ettore. 
636;Schmitz Livia;17;17/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla moglie Trieste,  17 Settembre  1910 Carissima Livia, Posseggo la cara tua del 15. Oh! Brutta! Malcontenta di me di cui il lavoro principale è di scriverti. E vero che lavoro poco ma ti assicuro che ad onta della presenza di Ottavio e Frizzi il mio pensiero primo e costante è a Salsomaggiore. Vorrei essere sicuro che tu pensi altrettanto a me e me ne dichiarerei ben contento. Non parlo nemmeno dello stato continuo d'eccitazione in cui mi trovo e che mi fa male perché quello è egoismo e nient'altro. Ma ogni cosa che tu mi scrivi è vagliata. Non leggo neppure i « Piccoli » per essere ben sicuro di mandarteli ogni giorno alla stessa ora e per essere sicuro di trovarli sempre allo stesso posto. Forse ho torto di scrivere a macchina e nella lettera passa un po' il freddo del suo metallo. Ma il mio stato ricorda assolutamente tutte le altre volte in cui tu mi lasciasti solo. Coll'unica differenza che mi sono fermamente proposto di non far scene, di essere tranquillo una volta che ho deciso di lasciarti sola a Salso. Qualche volta mi passa un piccolo brivido pensando al pericolo che corro che tu abbia a lasciare il tuo antico vecchio per attaccarti a qualche giovine e sto bene attento che questo brivido non passi nelle mie lettere e non venga ad inquietarti. Al tuo ritorno potresti baciarmi la mano per riconoscenza. Figurati che Ottavio partirà da qui martedì e che io avrei dovuto partire quel giorno per Murano per restarci fino sabato. Visto che probabilmente occorre che Olga venga a Trieste per iscriversi a scuola io sarei obbligato di restare a Murano mentre tu avresti proceduto direttamente per Trieste. Marco si offerse di andare in vece mia. Gliene sono gratissimo. Cosi io t'aspetto con tutta tranquillità  a  casa.   Finisci  esattamente  la tua  cura  e  specialmente quella di Olga. Il 23 sarai sicuramente qui. Io calcolo cosi e quanto ti scrissi ieri non ha più senso perché Ottavio e Frizzi non possono attenderti ulteriormente. lersera io e Letizia siamo stati a cena da Natalia con tutta la compagnia. Andai tuttavia a letto molto a buon'ora e dormii molto bene perché l'altra notte non avevo dormito che pochissime ore. E ti mando il solito abbraccio in carta ch'è certamente freddo visto ch'è  in carta.   Tuo Ettore. 
637;Schmitz Livia;18;18/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA,UND;ITA;Alla moglie Trieste, 18 Settembre 1910 Carissima Livia, Ricevo la cara tua del 16. Sono un po' ingrugnato oggi e con pochissima voglia. Mi sono addormentato alle 4 ed ho anche un po' di male di testa. Eppure non disordino in nessun modo io. Ieri sono stato di nuovo fuori con Ottavio e Frizzi e la signora U. S. Siamo andati a Opcina dove abbiamo trovato anche la signora P. figlia della signora S. Come è brutta buon Dio, eppure se non sbaglio dovrebbe essere pochissimo più vecchia di te e me la ricordo da giovine se non bellina almeno piacente. Per fala cota (farla corta) ... la signora U. mi obbligò di prendere un caffè nero, ciò che forse mi condì per le feste. Ma erano appena le tre. Questa mane Ottavio telefonò alle nove. Ma io avevo fatto il mio bagno e poi ero ritornato a letto. Cosi lo vedrò da Paola ove sono a pranzo con Letizia. Pare che tua figlia non t'abbia scritto ieri e pare anche (lo vedo dalle tue lettere che leggo tutte) che ti scriva in stile telegrafico. Non darci troppo peso. Essa è piena di buoni propositi ma quando viene il momento vede un gatto o un cane e salta via. La pelliccia (manicotto e collare) per Letizia è a casa. E splendida. Mi ricorda il dono per Natale che aveste tu e Nella. Bel tempo quello li. Almeno eri qui se anche non molto mia intima. Lisi viene effettivamente da te. Quando Olga gliel'offerse fu una piccola storia con quella stupida di Fanni che si vedeva portar via il pane cui essa in complesso aveva rinunziato. Oggi le feci domandare dalla signorina Zéline se accettava e sorridendo disse di si.   Spero di  stare meglio che  con quell'altra che non ha la più lontana idea di quello che sia un servizio. Strano che in un luogo di bagni come Salso si facciano errori di temperatura del bagno. Cosi potrebbe essere che tu sia giovedì sera a Trieste. Sarebbe veramente ora. Lunedi sera o martedì Ottavio e Frizzi mi abbandonano. Vieni presto,  cara. Tuo Ettore. 
638;Schmitz Livia;19;19/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA,FRE;ITA;Alla moglie Trieste,   19 Settembre   1910 Carissima  Livia, Ricevo la cara tua del 17. Spero che il giorno dopo avrai ricevute due mie lettere e che avrai visto la fedeltà di quel povero diavolo di tuo marito. Io spero bene che non avrai più bisogno di questo Salso ch'è stato sempre il gatto nero del nostro matrimonio. O farò in modo di venirci anch'io. Forse la compagnia ti è dispiaciuta di più perché non hai voluto fare la vita che hanno voluto fare gli altri. Se hai l'opportunità di andare qualche volta a teatro con Davide fallo pure. Se me ne avessi domandato il permesso prima te lo avrei dato di sicuro. In genere poi non hai bisogno di permessi per simili cose. Io annuso dalle tue lettere una grande nervosità che attribuisco specialmente agli effetti del bagno. Non so che dirti, cara Livia. Se non ci fosse stato qui Ottavio io sarei di certo venuto a Salso. Ma così non ci vedo scopo. Arriverei a Salso mercoledì per partire giovedì. Ottavio parte domani martedì. In quanto al v. viaggio io direi che vi fermiate a Milano per non accopparvi. Fate il bagno mercoledì o lo fate anche giovedì? In questo caso avreste a faticarvi troppo viaggiando tutto il giorno e fareste bene di passare una notte a Milano. Poi avreste anche la comodità di  arrivare  qui  alle  sette  di  sera  del venerdì.   Ieri  sono stato con Ottavio, Frizzi, Paola, Sara, Aurelio e Letizia alle corse. Abbiamo passato un pomeriggio molto lieto ed io ho perduto qualche soldo. A pranzo siamo stati da Paola e alla sera da Natalia. Arrivammo a casa poco dopo le dieci perché non volevo stancare Letizia. Dormii molto bene e oggi mi sento privo del male di testa che ebbi ieri tutto il giorno. Alle 11/4 trovo in corso Ottavio e vado a pranzo da Paola. Questa sera poi sono da Natalia. Pepi si vede continuamente circondato da tanti Schmitz che gli gira la testa ma pare che gli faccia piacere. Domattina mi alzerò di buon'ora per accompagnare Ottavio. Sarebbe stato ben meglio questa volta se tu non fossi andata a Salso. Si avrebbe passato un'epoca ben bella. Invece cosi tu ti diverti ben poco laggiù ed io mi svago si ma sono sempre un poco per aria. Ieri a tavola da Natalia feci il funebre bon mot che quando arriverai per sommo complimento dovrò dirti che nel caso tu avessi ad avere il pessimo gusto di morire prima di me io dovrei subito sposarmi di nuovo perché non so più vivere solo. Mi raccontarono che lo stesso complimento lo fa Pepi a Natalia. Vedremo come ti comporterai tu quando io ti avrò lasciata. Cerca di aver pazienza per questi pochi giorni. Il peggio è passato ed un'altra volta cercheremo di essere meno stupidi. Ti abbraccio di cuore. Tuo Ettore. 
639;Schmitz Livia;20;20/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla moglie Trieste, 20 Settembre 1910 Carissima   Livia, Ho ricevuto iersera la cara tua del 18 ed oggi naturalmente non ne riceverò alcuna. Ottavio e Frizzi sono partiti questa mane. Io li accompagnai con Paola e Sara fino a Opcina. Ritornai col tramway elettrico ed eccomi qui alle dieci. Marco parte oggi per Murano ed io assumo la fabbrica. Sono più solo che mai e non vedo l'ora di veder regolata la mia posizione. Del  resto specialmente  durante  la  loro  permanenza qui mi mancasti e ciò per moltissime ragioni. Ora che sono via mi manchi solo per una ragione. Domani dovrò scriverti molto di buon'ora se posso sperare di farti pervenire un ultimo arrivederci. iersera siamo stati io e Letizia a cena da Natalia. Abbiamo fatto anche tardi. Arrivammo alle 11 e trovammo Nella che aspettava Letizia. Ottavio si trovò qui molto bene questa volta. La signora Emma aveva messo a sua disposizione tutto quello che poteva. Tutti poi erano lieti e in buona salute. Ciccarono di non trovarti e sperano che li indennizzerai andando qualche giorno a Vienna (con me naturalmente). Vedremo come si metteranno le cose. Insomma tu sei malcontenta di me. Io confido che sia un effetto nervoso dei bagni e che quando rileggeremo insieme le mie lettere riconoscerai di aver avuto torto. Altrimenti come letterato sono veramente spacciato perché non saprei neppure esprimere quello che sento. Ho avuto sempre una certa antipatia per la parola dolce ch'è tanto facile di vergare e che non dice niente. Già la frequenza delle mie lettere, l'attenzione che metto a raccontarti tutto e a farti vivere con noi una parte di questi giorni tanto importanti per me dovrebbe sostituire qualunque dolcezza d'espressione che — pure — se rileggi le mie lettere dovresti trovare IN OGNUNA di esse perché il sentimento non mancò giammai. E ti aspetto a rivedere insieme la mia prosa. Oggi Letizia ha 13 anni. Mi pare ieri. Ricordo la mia gita in carrozza alla mattina col Dr. Zencovich e ricordo ch'ero un poco dispiacente ancora ch'era nata una femmina anziché un maschio. Adesso ne facciamo più che mai una donna e non sappiamo, non possiamo sapere né io né tu se facciamo bene o male. Ne riparleremo di qui a una ventina d'anni. Sono chiamato in fabbrica. Un buon bacio dolce e intenso per viaggio. Tuo Ettore. 
640;Schmitz Livia;21;21/09/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Salsomaggiore;ITA;ITA;Alla moglie Trieste, 21   Settembre   1910 Carissima Livia, Quest'è l'ultima lettera che ti scrivo e per di più non ho nemmeno la convinzione che ti raggiunga. Tanto meglio. Ho tanto più da dirti che da scriverti. I  « Piccoli » li mandai all'ora solita e forse ti giungeranno... se la presente ti raggiunge. Ieri abbiamo fatta la festa a Letizia. I nonni le regalarono un orologio e Natalia gliene portò un altro. Cosi sapremo l'ora. Di Cippina le notizie son molto brutte. Pare abbia il sangue avvelenato da un sarcoma. Gioachino oggi gli proporrà di andare all'Ospitale dei paganti. Si suppone che il processo contro Edmondo si chiuderà appena in Novembre perché l'istruttoria è stata riaperta per la traduzione in tedesco di tutti gli atti. Può essere terminato prima.Cerco argomenti da scriverti ma è vano. Come è vano di scrivere tanta roba. Vieni presto, cara siora Livia. Ti chiuderò in modo la bocca che non troverai il fiato per protestare   contro   la   mia   freddezza   per  te. Ti   abbraccio   di   cuore.   Tuo Ettore. 
641;Schmitz Livia;22;18/10/1910;1910;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla    moglie Murano,   18 Ottobre   1910 Carissima Livia, La partenza andò benone con la sola differenza che arrivai alla stazione quasi mezz'ora prima della partenza del treno. Questa notte poi dormii 10 ore come si dorme a Murano. Italia (che ti saluta) si arrabbiò perché dissi che questa è la casa del sonno ma ne sono refrigerato. Lavoro ch'è un piacere e credo che arriverò a Trieste con 1 centimetro di meno pancia. Ho anche una settimana piena di occupazioni personali con le quali guadagno sol io (oltre a quella contro la pancia). I. Disabituarmi dal fumare. II Riparazione della pelle della mia faccia ch'era consunta da tanto rasoio. III. Masticazione metodica di tutto quanto ingerisco. Trovai qui che anche Gilda prende di mattina il tè cosi mi è facile di non prendere caffè mentre se avessi visto qualcuno che lo prendeva sarebbe stata una grossa occupazione nuova di resistere a quella tentazione. Domani compisco 49 anni meno 2 mesi.  Spero che ti sarai dimenticata e non spenderai per telegrammi. Veramente a me pare piuttosto giusto di congratularsi quando mancano i due mesi che quando non mancano più. Spero che Letizia sarà felice di dormir con te. A patto che non ci si abitui troppo. Come vedi sono di buon umore. C'è una quiete qui che ristora. Grazie ai Cielo, come sempre, il telefono è rotto e chi vuole di noi deve venire a Murano. Cosi un ordine di pittura ci arrivò « con la vita » all'ultimo momento ma non si ebbe né campanelle né «pronti» o non pronti. Sono anche garantito dai costumi veneziani che fino alla mia partenza  il  telefono  non  funzionerà  ancora. Ti abbraccio di cuore, la mia Livia. Il cocchiere in carretta mi raccontò che aveva dovuto uscire senza niente di caldo nello stomaco perché la moglie dormiva. Io gli dissi: «Mia moglie mi fece il tè » e mi sentii ancora più caldo allo stomaco.  Solo comportati bene. Tuo Ettore. 
